County,Year,Indicator,Measure,Year,Jan-Mar,Apr-Jun,Jul-Sep,Oct-Dec,Annual
Holmes,2016,Opioid Overdose Deaths,Count,2016,1,0,1,1,3
Holmes,2016,Drug Overdose Deaths,Count,2016,2,1,1,1,5
Holmes,2016,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2016,,,,,15.2
Holmes,2016,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2016,,,,,25.6
Holmes,2016,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016,0,1,1,0,2
Holmes,2016,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016,7,6,10,2,25
Holmes,2016,All Drug Non-fatal Overdose Emergency Department Visits,Count,2016,14,12,7,11,44
Holmes,2016,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2016,12,11,7,11,41
Holmes,2016,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,5
Holmes,2016,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,7
Holmes,2016,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,6
Holmes,2016,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,All Drug Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,8,<5,14
Holmes,2016,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2016,<5,<5,7,<5,11
Holmes,2016,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016,<5,<5,<5,<5,<5
Holmes,2016,Florida Poison Information Network Calls Related to Opioids,Count,2016,1,1,1,0,3
Holmes,2016,Naloxone Administered,Count,2016,0,2,1,1,4
Holmes,2016,Naloxone Administered by EMS,Count,2016,0,2,1,1,4
Holmes,2016,Naloxone Administered Prior to EMS,Count,2016,0,0,0,0,0
Holmes,2016,Naloxone Administration Not Applicable/Not Recorded,Count,2016,0,0,0,0,0
Alachua,2015,Opioid Overdose Deaths,Count,2015,4,12,6,2,24
Alachua,2015,Drug Overdose Deaths,Count,2015,9,17,9,6,41
Alachua,2015,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2015,,,,,10.2
Alachua,2015,Drug Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2015,,,,,18.1
Alachua,2015,Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015,35,30,35,33,133
Alachua,2015,Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015,325,348,366,315,1354
Alachua,2015,All Drug Non-fatal Overdose Emergency Department Visits,Count,2015,85,74,91,60,310
Alachua,2015,Unintentional/Undetermined Non-fatal Drug Overdose Emergency Department Visits,Count,2015,85,73,90,38,286
Alachua,2015,Intentional Self-harm Non-fatal Drug Overdose Emergency Department Visits,Count,2015,31,26,31,21,109
Alachua,2015,Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015,5,10,7,6,28
Alachua,2015,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Emergency Department Visits,Count,2015,5,10,7,6,28
Alachua,2015,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Emergency Department visits,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,5
Alachua,2015,Unintentional/undetermined Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,5
Alachua,2015,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,5,<5,<5,<5,14
Alachua,2015,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,5,<5,<5,<5,12
Alachua,2015,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,All Drug Non-fatal Overdose Hospitalizations,Count,2015,86,92,85,93,356
Alachua,2015,Unintentional/Undetermined Non-fatal Drug Overdose Hospitalizations,Count,2015,86,92,85,56,319
Alachua,2015,Intentional Self-harm Non-fatal Drug Overdose Hospitalizations,Count,2015,42,35,30,39,146
Alachua,2015,Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,18,21,14,22,75
Alachua,2015,Unintentional/Undetermined Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,18,21,14,21,74
Alachua,2015,Intentional Self-harm Non-fatal Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Unintentional/Undetermined Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Intentional Self-harm Non-fatal Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,6,14,17,10,47
Alachua,2015,Unintentional/Undetermined Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,6,14,17,7,44
Alachua,2015,Intentional Self-harm Non-fatal Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015,<5,<5,<5,<5,<5
Alachua,2015,Florida Poison Information Network Calls Related to Opioids,Count,2015,19,19,21,14,73
Alachua,2015,Naloxone Administered,Count,2015,76,74,82,93,325
Alachua,2015,Naloxone Administered by EMS,Count,2015,58,50,50,61,219
Alachua,2015,Naloxone Administered Prior to EMS,Count,2015,2,7,14,11,34
Alachua,2015,Naloxone Administration Not Applicable/Not Recorded,Count,2015,16,17,18,21,72
Jefferson,2015,Opioid Overdose Deaths,Count,2015,0,0,0,0,0
Jefferson,2015,Drug Overdose Deaths,Count,2015,1,,1,,2
Jefferson,2015,Opioid Overdose Annual Age-Adjusted Death Rate,Per 100000 persons,2015,,,,,0.0
